Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Omar Narvaez*,27,123,456,405,63,115,12,0,22,55,0,0,44,88,0.284,0.357,0.477,0.834,124,193,5,4,0,3,1
2,1B,Edwin Encarnacion,36,65,289,241,48,58,7,0,21,49,0,1,41,55,0.241,0.356,0.531,0.888,137,128,3,4,0,3,0
3,2B,Dee Gordon*,31,108,399,373,36,103,11,6,3,34,22,5,16,58,0.276,0.303,0.362,0.665,80,135,7,1,3,6,1
4,SS,J.P. Crawford*,24,83,353,306,40,71,20,4,6,40,5,3,40,75,0.232,0.32,0.382,0.702,90,117,3,1,3,3,0
5,3B,Kyle Seager*,31,95,401,351,51,85,18,1,22,60,2,2,44,80,0.242,0.332,0.487,0.819,118,171,11,4,0,2,0
6,LF,Domingo Santana,26,116,497,442,63,113,20,1,21,69,8,3,49,159,0.256,0.331,0.448,0.779,109,198,11,2,0,2,1
7,CF,Mallex Smith*,26,126,545,489,68,114,19,9,6,37,44,8,42,136,0.233,0.308,0.346,0.653,78,169,6,11,2,1,0
8,RF,Mitch Haniger (10-day IL),28,63,283,246,46,54,13,1,15,32,4,0,30,81,0.22,0.314,0.463,0.778,107,114,3,5,0,2,1
9,DH,Daniel Vogelbach*,26,136,534,440,72,94,17,0,30,76,0,0,90,139,0.214,0.348,0.457,0.805,117,201,4,2,0,2,2
10,SS,Tim Beckham,29,88,328,304,39,72,21,1,15,47,1,3,21,102,0.237,0.293,0.461,0.753,100,140,7,3,0,0,0
11,UT,Dylan Moore,26,105,261,227,30,49,13,2,9,26,11,9,25,84,0.216,0.315,0.41,0.725,95,93,6,8,1,0,0
12,C,Tom Murphy,28,69,256,241,30,68,12,1,17,39,2,0,13,83,0.282,0.32,0.552,0.872,130,133,0,1,0,1,0
13,1B,Austin Nola,29,68,227,200,35,56,10,1,10,27,1,0,21,50,0.28,0.358,0.49,0.848,128,98,4,4,1,1,1
14,3B,Ryon Healy (60-day IL),27,47,187,169,24,40,16,0,7,26,0,0,13,40,0.237,0.289,0.456,0.744,98,77,1,1,0,4,0
15,UT,Jay Bruce*,32,47,184,165,27,35,11,0,14,28,1,0,16,53,0.212,0.283,0.533,0.816,114,88,1,1,0,2,0
16,2B,Shed Long*,23,31,120,109,14,29,8,0,4,11,3,2,11,31,0.266,0.333,0.45,0.783,110,49,1,0,0,0,0
17,LF,Tim Lopes,25,34,110,93,10,23,5,0,1,11,5,2,15,27,0.247,0.355,0.333,0.688,90,31,1,1,0,1,0
18,LF,Mac Williamson,28,25,87,77,10,14,0,0,3,10,0,1,9,26,0.182,0.276,0.299,0.575,57,23,1,1,0,0,0
19,CF,Keon Broxton,29,27,63,52,5,6,0,0,2,5,2,4,8,33,0.115,0.238,0.231,0.469,29,12,0,1,0,2,0
20,CF,Braden Bishop,25,22,52,49,2,5,0,0,0,3,0,0,2,20,0.102,0.137,0.102,0.239,-33,5,0,0,1,0,0
21,OF,Jake Fraley*,24,12,41,40,3,6,2,0,0,1,0,0,0,14,0.15,0.171,0.2,0.371,1,8,0,1,0,0,0
22,RF,Kyle Lewis,23,7,32,30,6,9,2,0,4,9,0,0,1,11,0.3,0.313,0.767,1.079,178,23,0,0,0,1,0
23,UT,Ryan Court,31,12,25,24,1,5,1,0,1,5,0,0,1,11,0.208,0.24,0.375,0.615,63,9,0,0,0,0,0
24,OF,Kristopher Negron,33,10,25,23,3,5,0,0,0,1,1,0,2,9,0.217,0.28,0.217,0.497,39,5,0,0,0,0,0
25,SS,Donnie Walton*,25,4,10,8,1,2,0,0,0,1,0,1,2,3,0.25,0.4,0.25,0.65,85,2,0,0,0,0,0
26,RF,Ichiro Suzuki*,45,2,6,5,0,0,0,0,0,0,0,0,1,1,0,0.167,0,0.167,-47,0,0,0,0,0,0
27,C,David Freitas,30,1,4,2,1,0,0,0,0,1,0,0,1,0,0,0.25,0,0.25,-21,0,0,0,0,1,0
28,P,Marco Gonzales*,27,2,6,5,1,1,1,0,0,0,0,0,0,4,0.2,0.2,0.4,0.6,56,2,0,0,1,0,0
29,P,Felix Hernandez,33,2,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
30,P,Erik Swanson,25,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
31,P,Mike Leake,31,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.5,58,0,0,0,0,0,0
32,P,Wade LeBlanc*,34,2,2,0,0,0,0,0,0,0,0,0,1,0,,1,,,,0,0,0,1,0,0
33,P,Justus Sheffield*,23,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
34,P,Austin Adams,28,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
35,P,Matt Carasiti,27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
36,P,Gerson Bautista (40-man),24,0,0,,,,,,,,,,,,,,,,,,,,,,
37,P,Andrew Moore,25,0,0,,,,,,,,,,,,,,,,,,,,,,
38,P,Parker Markel,28,0,0,,,,,,,,,,,,,,,,,,,,,,
39,P,Anthony Bass,31,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Cory Gearrin,33,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Tayler Scott,27,0,0,,,,,,,,,,,,,,,,,,,,,,
42,P,Matt Magill,29,0,0,,,,,,,,,,,,,,,,,,,,,,
43,P,Roenis Elias*,30,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Zac Rosscup,31,0,0,,,,,,,,,,,,,,,,,,,,,,
45,P,Jesse Biddle*,27,0,0,,,,,,,,,,,,,,,,,,,,,,
46,P,Sam Tuivailala,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Mike Wright,29,0,0,,,,,,,,,,,,,,,,,,,,,,
48,P,Matt Festa (40-man),26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Matt Wisler,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Nick Rumbelow,27,0,0,,,,,,,,,,,,,,,,,,,,,,
51,P,Chasen Bradford (60-day IL),29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Yusei Kikuchi*,28,0,0,,,,,,,,,,,,,,,,,,,,,,
53,P,Dan Altavilla,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
54,P,R.J. Alaniz,28,0,0,,,,,,,,,,,,,,,,,,,,,,
55,P,Connor Sadzeck (60-day IL),27,0,0,,,,,,,,,,,,,,,,,,,,,,
56,P,Zac Grotz,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
57,P,Hunter Strickland,30,0,0,,,,,,,,,,,,,,,,,,,,,,
58,P,Taylor Guilbeau*,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
59,P,Shawn Armstrong,28,0,0,,,,,,,,,,,,,,,,,,,,,,
60,P,Reggie McClain,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
61,P,Anthony Swarzak,33,0,0,,,,,,,,,,,,,,,,,,,,,,
62,P,Justin Dunn,23,0,0,,,,,,,,,,,,,,,,,,,,,,
63,P,Brandon Brennan,27,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
64,P,Ryan Garton,29,0,0,,,,,,,,,,,,,,,,,,,,,,
65,P,Art Warren,26,0,0,,,,,,,,,,,,,,,,,,,,,,
66,P,Tommy Milone*,32,0,0,,,,,,,,,,,,,,,,,,,,,,
67,P,David McKay,24,0,0,,,,,,,,,,,,,,,,,,,,,,
